City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vigrestad,NO,2021-07-31 20:12,58.5667,5.7,57.58,74,98,26.31
1,Atuona,PF,2021-07-31 20:12,-9.8,-139.0333,76.75,70,40,12.97
2,Port Alfred,ZA,2021-07-31 20:12,-33.5906,26.891,67.06,41,100,5.99
3,Puerto Ayora,EC,2021-07-31 20:12,-0.7393,-90.3518,69.55,98,41,7
4,Ushuaia,AR,2021-07-31 20:08,-54.8,-68.3,44.26,57,75,18.41
5,Victoria,HK,2021-07-31 20:09,22.2855,114.1577,86.38,90,99,1.01
6,Ponta Do Sol,PT,2021-07-31 20:12,32.6667,-17.1,74.71,78,3,7.74
7,Chernyshevskiy,RU,2021-07-31 20:12,63.0128,112.4714,53.22,64,50,2.08
8,Ostrovnoy,RU,2021-07-31 20:12,68.0531,39.5131,46.58,95,99,5.01
9,Hobart,AU,2021-07-31 20:12,-42.8794,147.3294,48.06,71,20,3
10,Mar Del Plata,AR,2021-07-31 20:12,-38.0023,-57.5575,55.09,1,94,10
11,Mitsamiouli,KM,2021-07-31 20:12,-11.3847,43.2844,76.87,71,0,5.3
12,Provideniya,RU,2021-07-31 20:12,64.3833,-173.3,45.5,85,100,3.85
13,Luderitz,NA,2021-07-31 20:12,-26.6481,15.1594,70.38,26,0,6.62
14,Kaitangata,NZ,2021-07-31 20:12,-46.2817,169.8464,47.28,97,100,2.77
15,Mirnyy,RU,2021-07-31 20:12,62.5353,113.9611,54.91,61,41,1.63
16,Severo-Kurilsk,RU,2021-07-31 20:12,50.6789,156.125,53.53,96,100,4.72
17,Inhambane,MZ,2021-07-31 20:12,-23.865,35.3833,64.56,78,0,7.36
18,Payo,ID,2021-07-31 20:11,-3.7508,103.6372,72.77,88,35,1.43
19,Sistranda,NO,2021-07-31 20:12,63.7256,8.834,53.56,80,100,17.47
20,Lamu,KE,2021-07-31 20:12,-2.2717,40.902,73.62,82,100,19.1
21,Fairbanks,US,2021-07-31 20:10,64.8378,-147.7164,73.74,54,1,4.61
22,Airai,TL,2021-07-31 20:12,-8.9266,125.4092,58.24,90,60,3.62
23,Ancud,CL,2021-07-31 20:12,-41.8697,-73.8203,47.73,63,47,3.02
24,Majene,ID,2021-07-31 20:12,-3.5403,118.9707,77.5,87,98,5.12
25,Hithadhoo,MV,2021-07-31 20:12,-0.6,73.0833,81.5,71,91,3.06
26,Bredasdorp,ZA,2021-07-31 20:13,-34.5322,20.0403,51.28,89,100,2.48
27,Mataura,NZ,2021-07-31 20:13,-46.1927,168.8643,47.48,100,100,1.63
28,Dwarka,IN,2021-07-31 20:13,22.2394,68.9678,81.79,84,100,26.13
29,Kruisfontein,ZA,2021-07-31 20:13,-34.0033,24.7314,53.89,59,16,2.37
30,Banda Aceh,ID,2021-07-31 20:13,5.5577,95.3222,80.49,72,100,13.98
31,Rikitea,PF,2021-07-31 20:13,-23.1203,-134.9692,70.63,71,4,9.89
32,Lebu,CL,2021-07-31 20:13,-37.6167,-73.65,51.91,68,0,15.7
33,Clyde River,CA,2021-07-31 20:13,70.4692,-68.5914,40.66,82,100,3.65
34,Khatanga,RU,2021-07-31 20:13,71.9667,102.5,67.19,44,100,13.65
35,Tyret Pervaya,RU,2021-07-31 20:13,53.6703,102.3106,56.8,89,100,3.98
36,Butaritari,KI,2021-07-31 20:13,3.0707,172.7902,81.16,75,14,6.04
37,Vaini,TO,2021-07-31 20:13,-21.2,-175.2,73.56,88,90,17.27
38,Waipawa,NZ,2021-07-31 20:13,-41.4122,175.5153,41.63,92,100,3.65
39,Hilo,US,2021-07-31 20:11,19.7297,-155.09,80.33,73,75,0
40,Samarai,PG,2021-07-31 20:13,-10.6167,150.6667,78.12,65,91,15.86
41,Albany,US,2021-07-31 20:10,42.6001,-73.9662,73.85,50,67,8.34
42,Kavaratti,IN,2021-07-31 20:13,10.5669,72.642,81.27,81,17,15.26
43,Aklavik,CA,2021-07-31 20:13,68.2191,-135.0107,76.41,38,96,11.48
44,Punta Arenas,CL,2021-07-31 20:12,-53.15,-70.9167,42.12,60,0,17.27
45,Castro,BR,2021-07-31 20:13,-24.7911,-50.0119,53.19,63,95,6.89
46,Cape Town,ZA,2021-07-31 20:10,-33.9258,18.4232,57.27,95,75,1.01
47,Lagoa,PT,2021-07-31 20:13,39.05,-27.9833,71.22,80,100,9.75
48,Gat,IL,2021-07-31 20:13,31.61,34.7642,84.4,57,0,4.12
49,Port-Cartier,CA,2021-07-31 20:13,50.0334,-66.8654,67.93,56,100,9.35
50,Narsaq,GL,2021-07-31 20:12,60.9167,-46.05,62.82,70,19,4.14
51,Qaanaaq,GL,2021-07-31 20:13,77.484,-69.3632,43.2,83,93,3.44
52,Tilichiki,RU,2021-07-31 20:13,60.4667,166.1,48.9,54,29,4
53,Yumen,CN,2021-07-31 20:13,40.2833,97.2,76.6,21,99,19.98
54,Casablanca,MA,2021-07-31 20:13,33.5928,-7.6192,71.82,68,5,15.99
55,Ugoofaaru,MV,2021-07-31 20:11,5.6667,73,82.22,76,28,11.23
56,Guilin,CN,2021-07-31 20:10,25.2819,110.2864,77.99,91,100,0.2
57,Guerrero Negro,MX,2021-07-31 20:13,27.9769,-114.0611,85.32,48,5,11.36
58,Heishan,CN,2021-07-31 20:13,41.6892,122.1128,70.48,99,36,6.6
59,Marawi,PH,2021-07-31 20:13,7.9986,124.2928,68.65,92,57,3.15
60,Barrow,US,2021-07-31 20:13,71.2906,-156.7887,48.22,90,90,17.27
61,Dikson,RU,2021-07-31 20:13,73.5069,80.5464,42.39,96,100,13.22
62,Zhangjiakou,CN,2021-07-31 20:13,40.81,114.8794,67.3,61,54,13
63,Mali,GN,2021-07-31 20:13,12.079,-12.2982,60.49,95,91,3.56
64,Ixtapa,MX,2021-07-31 20:12,20.7,-105.2,88.23,70,75,6.91
65,Kapaa,US,2021-07-31 20:09,22.0752,-159.319,84.52,67,40,5.99
66,Atherton,GB,2021-07-31 20:13,53.5237,-2.4935,62.29,86,99,4
67,Katsuura,JP,2021-07-31 20:09,35.1333,140.3,80.11,82,89,0.74
68,Atar,MR,2021-07-31 20:13,20.5169,-13.0499,99.41,23,6,17.38
69,Jamestown,US,2021-07-31 20:13,42.097,-79.2353,74.52,55,1,3
70,Yellowknife,CA,2021-07-31 20:13,62.456,-114.3525,82.29,53,2,8.99
71,Deputatskiy,RU,2021-07-31 20:13,69.3,139.9,43.74,83,100,6.73
72,Aginskoye,RU,2021-07-31 20:13,51.1,114.53,54.09,75,70,2.89
73,Calabar,NG,2021-07-31 20:10,4.9517,8.322,73.89,95,85,3.8
74,Leningradskiy,RU,2021-07-31 20:13,69.3833,178.4167,33.51,90,100,13.65
75,Arraial Do Cabo,BR,2021-07-31 20:13,-22.9661,-42.0278,62.46,88,75,2.3
76,Mahebourg,MU,2021-07-31 20:13,-20.4081,57.7,67.24,69,7,15.28
77,Coihaique,CL,2021-07-31 20:13,-45.5752,-72.0662,42.75,56,0,5.75
78,Porto Novo,BJ,2021-07-31 20:13,6.4965,2.6036,76.48,85,100,6.02
79,Henties Bay,NA,2021-07-31 20:12,-22.116,14.2845,69.31,38,0,11.7
80,Hasaki,JP,2021-07-31 20:13,35.7333,140.8333,73.8,91,53,6.85
81,Busselton,AU,2021-07-31 20:13,-33.65,115.3333,49.08,81,80,27.87
82,Sumbe,AO,2021-07-31 20:13,-11.2061,13.8437,70.66,92,3,6.08
83,Norman Wells,CA,2021-07-31 20:13,65.282,-126.8329,81.73,39,65,5.84
84,Chuy,UY,2021-07-31 20:10,-33.6971,-53.4616,53.89,80,0,4.68
85,Ishigaki,JP,2021-07-31 20:13,24.3448,124.1572,83.48,82,100,20.36
86,Fortuna,US,2021-07-31 20:13,40.5982,-124.1573,99.48,74,1,13.8
87,Bonavista,CA,2021-07-31 20:13,48.6499,-53.1147,65.7,70,4,21.54
88,Vidim,RU,2021-07-31 20:13,56.4088,103.1106,60.46,68,100,3.06
89,Saint-Philippe,RE,2021-07-31 20:13,-21.3585,55.7679,69.39,81,24,13.29
90,Shellbrook,CA,2021-07-31 20:13,53.2168,-106.4011,85.96,23,0,6.69
91,Sungaipenuh,ID,2021-07-31 20:13,-2.0833,101.3833,63.64,98,96,1.05
92,Tasiilaq,GL,2021-07-31 20:13,65.6145,-37.6368,53.76,78,66,3.4
93,Takoradi,GH,2021-07-31 20:13,4.8845,-1.7554,76.5,85,46,7.31
94,Nanortalik,GL,2021-07-31 20:13,60.1432,-45.2371,48.36,81,72,14.23
95,Kosmynino,RU,2021-07-31 20:13,57.5818,40.7643,63.88,70,51,8.21
96,Rawson,AR,2021-07-31 20:13,-43.3002,-65.1023,50.07,33,0,7.72
97,Suclayin,PH,2021-07-31 20:13,15.7568,121.5503,78.67,88,100,7
98,Port Elizabeth,ZA,2021-07-31 20:13,-33.918,25.5701,56.1,60,93,2.35
99,Isangel,VU,2021-07-31 20:13,-19.55,169.2667,69.58,57,8,15.3
100,Paamiut,GL,2021-07-31 20:13,61.994,-49.6678,45.61,85,97,17.72
101,Kodiak,US,2021-07-31 20:10,57.79,-152.4072,53.11,87,90,4.61
102,Shahdadpur,PK,2021-07-31 20:13,25.9241,68.62,86,69,100,24.32
103,Thinadhoo,MV,2021-07-31 20:13,0.5333,72.9333,81.9,70,96,1.48
104,Itarema,BR,2021-07-31 20:13,-2.9248,-39.9167,81.61,68,89,15.57
105,Touros,BR,2021-07-31 20:13,-5.1989,-35.4608,81.5,67,91,17.58
106,Vao,NC,2021-07-31 20:13,-22.6667,167.4833,66.83,59,0,22.68
107,Luanda,AO,2021-07-31 20:10,-8.8368,13.2343,73.4,78,0,5.75
108,San Patricio,US,2021-07-31 20:13,28.017,-97.5169,97.52,40,40,14.5
109,Lompoc,US,2021-07-31 20:13,34.6391,-120.4579,92.01,68,20,12.66
110,Tiznit,MA,2021-07-31 20:13,29.5833,-9.5,83.77,37,3,2.95
111,La Ronge,CA,2021-07-31 20:13,55.1001,-105.2842,71.96,39,0,6.76
112,Muli,MV,2021-07-31 20:13,2.9167,73.5667,82.49,73,100,6.06
113,Taos,US,2021-07-31 20:13,36.4072,-105.5731,76.21,51,1,1.01
114,East London,ZA,2021-07-31 20:13,-33.0153,27.9116,66,40,87,6.85
115,Vardo,NO,2021-07-31 20:13,70.3705,31.1107,48.16,90,100,14.52
116,Hualmay,PE,2021-07-31 20:13,-11.0964,-77.6139,67.68,73,18,13.85
117,Saldanha,ZA,2021-07-31 20:13,-33.0117,17.9442,59.31,53,56,1.23
118,Tomatlan,MX,2021-07-31 20:13,19.9333,-105.25,89.49,56,76,3.94
119,Kutum,SD,2021-07-31 20:13,14.2,24.6667,69.85,78,100,12.73
120,Talcahuano,CL,2021-07-31 20:13,-36.7167,-73.1167,60.48,48,0,10.36
121,Rocha,UY,2021-07-31 20:13,-34.4833,-54.3333,54.63,70,3,4.38
122,Chokurdakh,RU,2021-07-31 20:13,70.6333,147.9167,37.51,82,100,20.38
123,Jumla,NP,2021-07-31 20:13,29.2747,82.1838,63.43,96,100,2.39
